"BRANCH_COLOURS","INDIVIDUAL","SUBGRAPH_MRCA"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Europe","Europe","TRUE"
"Ocean","Ocean","TRUE"
"Europe","Europe","TRUE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Ocean","Ocean","TRUE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"US","US","TRUE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Europe","Europe","TRUE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"US","US","TRUE"
"SSA","SSA","TRUE"
"SSA","SSA","TRUE"
"SSA","SSA","TRUE"
"KC","KC","TRUE"
"KC","KC","TRUE"
"KC","KC","TRUE"
"KC","KC","TRUE"
"KC","KC","TRUE"
"KC","KC","TRUE"
"KC","KC","TRUE"
"KC","KC","TRUE"
"KC","KC","TRUE"
"KC","KC","TRUE"
"Neighb","Neighb","TRUE"
"Asia","Asia","TRUE"
"Unknown","Unknown","TRUE"
"SSA","SSA","TRUE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown","Asia","TRUE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Unknown",NA,"FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
